id,event_id,minute,second,team_id,team_name,player_id,x,y,end_x,end_y,is_touch,is_shot,is_goal,type,outcome,period,name,shirt_no,position
2744778835,632,61,55,36,Leverkusen,369446,60.7,12.7,70.2,11.8,True,False,False,Pass,Unsuccessful,SecondHalf,Edmond Tapsoba,12,DC
2744778887,593,61,56,26,Liverpool,301455,27.9,93.0,36.3,93.3,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744778895,594,62,1,26,Liverpool,352825,36.2,91.2,,,True,False,False,TakeOn,Unsuccessful,SecondHalf,Cody Gakpo,18,FWL
2744778911,634,62,1,36,Leverkusen,299684,63.8,8.8,,,True,False,False,Tackle,Successful,SecondHalf,Exequiel Palacios,25,MC
2744778915,595,62,3,26,Liverpool,301455,31.6,92.4,,,True,False,False,Interception,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744778945,635,62,3,36,Leverkusen,299684,64.1,13.1,71.9,12.7,True,False,False,Pass,Unsuccessful,SecondHalf,Exequiel Palacios,25,MC
2744779001,636,62,5,36,Leverkusen,280663,58.8,26.4,66.2,24.8,True,False,False,Pass,Successful,SecondHalf,Aleix García,24,MC
2744779013,637,62,6,36,Leverkusen,394786,66.2,23.3,66.1,9.9,True,False,False,Pass,Successful,SecondHalf,Florian Wirtz,10,FW
2744779039,638,62,12,36,Leverkusen,89401,66.1,9.9,74.0,4.9,True,False,False,Pass,Successful,SecondHalf,Granit Xhaka,34,MC
2744779083,639,62,15,36,Leverkusen,392644,78.3,5.7,97.3,15.9,True,False,False,Pass,Successful,SecondHalf,Jeremie Frimpong,30,DMR
2744779085,640,62,16,36,Leverkusen,394786,97.3,15.9,,,True,False,False,BallTouch,Unsuccessful,SecondHalf,Florian Wirtz,10,FW
2744779117,596,62,18,26,Liverpool,345319,9.2,71.8,,,False,False,False,BallRecovery,Successful,SecondHalf,Alexis Mac Allister,10,MC
2744779153,597,62,21,26,Liverpool,345319,9.2,71.7,31.9,58.2,True,False,False,Pass,Successful,SecondHalf,Alexis Mac Allister,10,MC
2744779197,598,62,24,26,Liverpool,377168,32.8,45.2,56.5,6.7,True,False,False,Pass,Successful,SecondHalf,Luis Díaz,7,FW
2744779235,599,62,29,26,Liverpool,108226,65.9,14.6,68.6,28.8,True,False,False,Pass,Successful,SecondHalf,Mohamed Salah,11,FWR
2744779257,600,62,33,26,Liverpool,377168,76.4,29.9,88.9,19.2,True,False,False,Pass,Successful,SecondHalf,Luis Díaz,7,FW
2744780309,643,62,5,36,Leverkusen,394786,58.9,22.4,,,False,False,False,BallRecovery,Successful,SecondHalf,Florian Wirtz,10,FW
2744780311,603,62,34,26,Liverpool,108226,85.4,18.9,95.7,54.5,True,False,False,Pass,Successful,SecondHalf,Mohamed Salah,11,FWR
2744780505,607,62,36,26,Liverpool,352825,97.0,52.8,,,True,True,True,Goal,Successful,SecondHalf,Cody Gakpo,18,FWL
2744780937,644,65,25,36,Leverkusen,299684,50.1,50.2,26.9,51.6,True,False,False,Pass,Successful,SecondHalf,Exequiel Palacios,25,MC
2744780939,608,65,26,26,Liverpool,352825,30.5,96.2,,,False,False,False,Foul,Unsuccessful,SecondHalf,Cody Gakpo,18,FWL
2744780951,645,65,25,36,Leverkusen,134946,27.0,51.6,64.0,4.5,True,False,False,Pass,Unsuccessful,SecondHalf,Jonathan Tah,4,DC
2744780975,646,65,26,36,Leverkusen,392644,69.5,3.8,,,True,False,False,Foul,Successful,SecondHalf,Jeremie Frimpong,30,DMR
2744781003,647,65,32,36,Leverkusen,299684,64.0,4.5,63.1,26.0,True,False,False,Pass,Successful,SecondHalf,Exequiel Palacios,25,MC
2744781019,648,65,33,36,Leverkusen,89401,63.1,26.0,64.3,10.9,True,False,False,Pass,Successful,SecondHalf,Granit Xhaka,34,MC
2744781047,649,65,34,36,Leverkusen,299684,64.3,10.9,44.1,31.6,True,False,False,Pass,Successful,SecondHalf,Exequiel Palacios,25,MC
2744781077,650,65,37,36,Leverkusen,280663,43.8,31.6,72.2,91.9,True,False,False,Pass,Successful,SecondHalf,Aleix García,24,MC
2744781087,651,65,41,36,Leverkusen,107252,72.3,91.9,76.1,78.2,True,False,False,Pass,Successful,SecondHalf,Álex Grimaldo,20,DML
2744781109,652,65,42,36,Leverkusen,394786,76.1,78.2,74.5,94.0,True,False,False,Pass,Successful,SecondHalf,Florian Wirtz,10,FW
